Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Marinobacter	genus	genus	2742	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter		1625	82	1116	72	23	97	14	27	112	22	25	12	23
Planctomycetes unclassified	genus	phylum	203682	Bacteria	Planctomycetes						1612	99	2	63	37	67	148	90	192	117	135	400	262
Halanaerobium	genus	genus	2330	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium		1584	1	1139	42	1	3	0	1	379	0	0	18	0
Unclassified Gammaproteobacteria unclassified	genus	no rank	118884	Bacteria	Proteobacteria	Gammaproteobacteria					1583	90	39	149	156	163	109	145	166	137	150	99	180
Ectothiorhodospiraceae unclassified	genus	family	72276	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			1570	51	282	258	27	418	17	24	331	25	21	93	23
Ponticoccus	genus	genus	983507	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ponticoccus		1547	135	76	330	245	165	47	111	117	112	82	44	83
Phycisphaerae unclassified	genus	class	666505	Bacteria	Planctomycetes	Phycisphaerae					1523	88	0	65	46	44	155	85	220	130	117	319	254
Loktanella	genus	genus	245186	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella		1501	332	32	188	395	118	21	177	60	50	50	17	61
Enhygromyxa	genus	genus	215802	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales		Enhygromyxa		1493	169	0	12	391	390	25	288	18	57	80	17	46
Unclassified Rhodospirillales unclassified	genus	no rank	451274	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales				1452	126	39	159	230	91	147	92	86	107	118	71	186
Desulfobulbus	genus	genus	893	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus		1438	36	3	159	49	127	122	161	212	115	64	168	222
Hyphomonas	genus	genus	85	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas		1392	121	10	137	223	110	24	215	215	129	141	3	64
Thiocapsa	genus	genus	1056	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa		1362	37	20	141	67	213	128	105	149	84	79	182	157
Unclassified Alphaproteobacteria unclassified	genus	no rank	82117	Bacteria	Proteobacteria	Alphaproteobacteria					1356	142	48	131	257	103	54	124	57	126	172	42	100
Chromatiaceae unclassified	genus	family	1046	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae			1282	45	26	132	99	183	141	102	70	124	84	66	210
Bacteroidetes unclassified	genus	phylum	976	Bacteria	Bacteroidetes						1193	82	67	372	110	110	29	131	79	80	49	33	51
Plesiocystis	genus	genus	191767	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Plesiocystis		1166	130	0	15	278	276	32	214	32	55	69	24	41
Desulfosarcina	genus	genus	2299	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfosarcina		1155	33	14	143	24	63	109	82	232	91	62	140	162
Citreicella	genus	genus	282682	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Citreicella		1092	113	56	230	173	98	50	70	67	74	70	31	60
Unclassified Bacteria unclassified	genus	no rank	2323	Bacteria							1043	40	39	64	49	91	67	89	176	126	54	87	161
Verrucomicrobia unclassified	genus	phylum	74201	Bacteria	Verrucomicrobia						1037	14	42	131	18	113	122	117	20	171	75	185	29
Mycobacterium	genus	genus	1763	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		1025	75	28	69	127	76	78	98	87	83	109	85	110
Unclassified Betaproteobacteria unclassified	genus	no rank	119066	Bacteria	Proteobacteria	Betaproteobacteria					1007	72	15	87	142	72	67	125	71	45	126	55	130
Leptolyngbya	genus	genus	47251	Bacteria	Cyanobacteria		Oscillatoriales		Leptolyngbya		1006	66	0	104	206	80	1	122	34	287	98	0	8
Devosia	genus	genus	46913	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia		987	94	19	123	185	83	61	63	54	100	77	33	95
Ruegeria	genus	genus	97050	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria		963	114	31	241	215	91	27	63	52	56	28	13	32
Synechococcus	genus	genus	1129	Bacteria	Cyanobacteria		Chroococcales		Synechococcus		951	92	4	58	247	55	17	141	15	188	98	11	25
Xanthomonadaceae unclassified	genus	family	32033	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae			951	85	20	74	109	59	58	121	79	87	131	50	78
Porphyrobacter	genus	genus	1111	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter		942	81	4	90	134	116	53	101	61	119	43	55	85
Phycisphaera	genus	genus	666508	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera		936	87	11	56	88	60	66	123	94	99	88	65	99
Sphingomonadaceae unclassified	genus	family	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae			935	72	21	87	125	83	74	89	67	101	68	48	100
Myxococcales unclassified	genus	order	29	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				926	69	5	34	128	114	58	121	70	69	91	73	94
